order_id,user_id,name,product_id,created_at,product_category,product_name,product_brand,sale_price,product_department,product_sku,stock_quantity
53169,42763,Thomas Kennedy,23311,2024-02-03 23:58:30.355245 UTC,Shorts,Marc Ecko Cut & Sew Men's Shawt Season Short,Marc Ecko Cut & Sew,36.9900016784668,Men,228A0DA874304DBC5274014BF3575244,19
64053,51375,Dean Parker,21634,2024-02-03 23:44:53 UTC,Jeans,LRG The Travel Unravel TS Jeans in Dark Charcoal,LRG,69,Men,D543CA8A30AEA952046A5E6827CB1B73,24
7905,6373,Kiara Jones,10756,2024-02-03 23:43:33.448758 UTC,Intimates,Maidenform Dream Boyshort,Maidenform,10,Women,174A61B0B3EAB8C94E0A9E78B912307F,24
92674,74182,Martha Allen,15560,2024-02-03 23:39:38 UTC,Plus,Vanity Fair Women's Illumination Front Close Full Coverage Contour Bra,Vanity Fair,34,Women,7232A90EA7D391905F9EE07BCC7C5967,7
15382,12485,Nicole Gonzales,15054,2024-02-03 23:35:08 UTC,Maternity,Motherhood Maternity: Belted Maternity Coat,Motherhood Maternity,99.9800033569336,Women,D9A849054248CB8A75FAA6FAADB62507,10
80013,64072,Michael Diaz,17091,2024-02-03 23:33:40.718208 UTC,Fashion Hoodies & Sweatshirts,Volcom Men's Full Zip Hooded Sepulveda Fleece,Volcom,55,Men,C4AEE399FBE5893F9BC44FA160EE3107,22
21733,17553,Kylie Gordon,11803,2024-02-03 23:27:49.994107 UTC,Intimates,Barely There Microfiber Diamond Camisole Black S,Barely There,16.5,Women,6275D7071D005260AB9D0766D6DF1145,12
53169,42763,Thomas Kennedy,20245,2024-02-03 23:25:47.355245 UTC,Suits & Sport Coats,Classy Men's Royal Blue Stripe Tone on Tone Vest Tie and Hanky 3 Piece Set,King Formal Wear,19.989999771118164,Men,A3B50762BA94A13BD2D70D377CE4ADA9,8
12774,10372,Alexander Williams,27238,2024-02-03 23:22:34.884316 UTC,Sleep & Lounge,Superman Men's Microfleece Sleep Set,Superman,50,Men,8C3C84FA802AAF387CE21CC596E9C712,20
102406,81993,Mark Gordon,16417,2024-02-03 23:20:37.4187 UTC,Tops & Tees,RIGGS WORKWEAR by Wrangler Men's Denim Work Shirt,Wrangler,29.989999771118164,Men,3F826F30BC252FB41B7EF03B98EE98C8,25
21181,17116,Aimee Davenport,926,2024-02-03 23:13:30.919005 UTC,Sweaters,US Polo Assn. Juniors Sweater With Big Pony,U.S. Polo Assn.,26.989999771118164,Women,CBB6A3B884F4F88B3A8E3D44C636CBD8,31
80013,64072,Michael Diaz,28896,2024-02-03 23:08:04.718208 UTC,Accessories,S1 It Smooth Medium Eyeglass Case,MyEyeglassCase,6.9899997711181641,Men,10164F723A34E25CD518DA38B02AF653,21
45558,36733,Natalie Farley,7825,2024-02-03 23:06:33 UTC,Blazers & Jackets,Stella & Jamie Women's Harare Jacket,Stella & Jamie,186,Women,561918F13A2832726EC7F2E16ECD76C1,12
17236,13972,Eric Spencer,20601,2024-02-03 23:05:03 UTC,Jeans,Dickies DD217 Men's Relaxed Fit Flannel-Lined Pocket Jean,Dickies,40.9099998474121,Men,065F16A07047AE1C3B0C4AB8DA87FE8E,11
64696,51873,Stanley Mason,20645,2024-02-03 22:45:31.051433 UTC,Jeans,Genuine Wrangler Men's Loose Fit Jeans,Wrangler,40,Men,813EB639491E5E5BE984F34CC200A848,18
87233,69811,Alisha Edwards,15947,2024-02-03 22:32:28.515291 UTC,Plus,Wool Fashion French Beret Black,Private Island,9.1899995803833,Women,BC02850CEEC640422E0CD11A6A4B827E,12
106992,85601,Lindsay Dominguez,9264,2024-02-03 22:31:19.134643 UTC,Socks & Hosiery,Soxnet Women's Christmas & Holiday Knee High Sock - Merry Christmas Black Cat,Soxnet,5.9899997711181641,Women,7EEA1F266BFC82028683AD15DA46E05E,15
118300,94659,Kimberly Baker,9544,2024-02-03 22:29:09.159667 UTC,Sleep & Lounge,Nautica Sleepwear Women's Giftable Pajama Sleep Set,Nautica,47.200000762939446,Women,B2303E95600891090F6519DF2B23EB09,22
45558,36733,Natalie Farley,12923,2024-02-03 22:25:34 UTC,Swim,Reebok Women's Sugarcoat Color Block Swimwear,Reebok,94,Women,FB45343C4635769A36C5072E04B6B978,4
